epoch,year,month,day,hour,minute,open,high,low,close,volume
1759324800,2025,10,1,13,20,667.7,667.83,667.625,667.83,428755
1759324500,2025,10,1,13,15,667.37,667.875,667.36,667.6951,776410
1759324200,2025,10,1,13,10,667.295,667.5,667.1719,667.37,558787
1759323900,2025,10,1,13,5,667.2681,667.52,667.2681,667.29,780485
1759323600,2025,10,1,13,0,666.92,667.295,666.82,667.27,478547
1759323300,2025,10,1,12,55,666.56,666.955,666.43,666.91,520702
1759323000,2025,10,1,12,50,666.7,666.795,666.53,666.55,343663
1759322700,2025,10,1,12,45,666.6345,666.85,666.5401,666.7,500625
1759322400,2025,10,1,12,40,666.87,666.93,666.6101,666.63,474913
1759322100,2025,10,1,12,35,667.02,667.035,666.82,666.87,412415
1759321800,2025,10,1,12,30,666.9,667.03,666.86,667.02,368042
1759321500,2025,10,1,12,25,666.72,666.98,666.685,666.9,389559
1759321200,2025,10,1,12,20,666.8,666.84,666.61,666.71,600621
1759320900,2025,10,1,12,15,666.99,667.13,666.79,666.8,523872
1759320600,2025,10,1,12,10,667.045,667.16,666.965,666.98,459490
1759320300,2025,10,1,12,5,666.84,667.07,666.82,667.0401,445634
1759320000,2025,10,1,12,0,666.99,667.16,666.81,666.8397,610872
1759319700,2025,10,1,11,55,667.03,667.12,666.97,666.975,591877
1759319400,2025,10,1,11,50,667.01,667.12,666.98,667.03,663832
1759319100,2025,10,1,11,45,666.95,667.18,666.89,667.02,696861
1759318800,2025,10,1,11,40,666.87,667.01,666.75,666.94,611128
1759318500,2025,10,1,11,35,666.58,666.98,666.47,666.87,912412
1759318200,2025,10,1,11,30,666.31,666.72,666.31,666.58,751908
1759317900,2025,10,1,11,25,666.16,666.44,666.04,666.31,565704
1759317600,2025,10,1,11,20,665.84,666.2,665.7809,666.165,618525
1759317300,2025,10,1,11,15,666.115,666.15,665.8,665.84,573439
1759317000,2025,10,1,11,10,666.12,666.17,665.77,666.1,733239
1759316700,2025,10,1,11,5,665.93,666.26,665.75,666.1201,623442
1759316400,2025,10,1,11,0,665.805,666.27,665.76,665.94,834678
1759316100,2025,10,1,10,55,665.68,665.84,665.635,665.805,571899
1759315800,2025,10,1,10,50,665.37,665.76,665.36,665.67,518725
1759315500,2025,10,1,10,45,665.475,665.66,665.29,665.38,928592
1759315200,2025,10,1,10,40,665.68,665.71,665.26,665.475,961014
1759314900,2025,10,1,10,35,665.7299,666.06,665.645,665.68,844954
1759314600,2025,10,1,10,30,665.53,665.74,665.325,665.7299,872513
1759314300,2025,10,1,10,25,665.3,665.71,665.3,665.53,837178
1759314000,2025,10,1,10,20,665.16,665.59,665.12,665.3,1140375
1759313700,2025,10,1,10,15,664.655,665.21,664.61,665.16,853749
1759313400,2025,10,1,10,10,664.35,664.73,664.32,664.645,707461
1759313100,2025,10,1,10,5,664.52,664.59,664.08,664.34,931998
1759312800,2025,10,1,10,0,663.74,664.5699,663.41,664.52,1110299
1759312500,2025,10,1,9,55,663.87,664.47,663.55,663.735,1538421
1759312200,2025,10,1,9,50,663.27,663.95,663.06,663.88,1566205
1759311900,2025,10,1,9,45,665.25,665.3,663.26,663.28,1798421
1759311600,2025,10,1,9,40,665.14,665.39,664.77,665.26,1656068
1759311300,2025,10,1,9,35,664.51,665.155,664.21,665.13,1682299
1759311000,2025,10,1,9,30,663.17,664.79,663.125,664.51,2767005
1759247700,2025,9,30,15,55,666.4,666.65,665.97,666.11,8104927
1759247400,2025,9,30,15,50,665.95,666.61,665.51,666.41,4131015
1759247100,2025,9,30,15,45,665.01,665.98,664.995,665.95,2777991
