epoch,year,month,day,hour,minute,open,high,low,close
1692978300,2023,8,25,15,45,177.3591,177.4254,177.1268,177.1432
1692978000,2023,8,25,15,40,177.2125,177.3695,177.1432,177.3625
1692977700,2023,8,25,15,35,177.2224,177.2719,177.059,177.2026
1692977400,2023,8,25,15,30,177.403,177.4304,177.2224,177.2273
1692977100,2023,8,25,15,25,177.2026,177.4205,177.1927,177.4056
1692976800,2023,8,25,15,20,177.072,177.2422,177.072,177.1976
1692976500,2023,8,25,15,15,176.8658,177.1035,176.8559,177.0639
1692976200,2023,8,25,15,10,176.955,177.0243,176.8163,176.8559
1692975900,2023,8,25,15,5,176.8559,177.0132,176.7173,176.954
1692975600,2023,8,25,15,0,176.8956,177.1382,175.5145,176.8463
1692975300,2023,8,25,14,55,176.793,176.9055,176.7569,176.8956
1692975000,2023,8,25,14,50,176.5885,176.7965,176.539,176.7954
1692974700,2023,8,25,14,45,176.5588,176.6678,176.4202,176.5885
1692974400,2023,8,25,14,40,176.6826,176.8163,176.4944,176.5489
1692974100,2023,8,25,14,35,176.8957,176.9649,176.5984,176.6727
1692973800,2023,8,25,14,30,176.747,177.0234,176.7222,176.903
1692973500,2023,8,25,14,25,176.4942,176.7767,176.4942,176.7371
1692973200,2023,8,25,14,20,176.3607,176.6182,176.3607,176.4994
1692972900,2023,8,25,14,15,176.0884,176.3905,175.9448,176.3508
1692972600,2023,8,25,14,10,175.7665,176.123,175.6476,176.0876
1692972300,2023,8,25,14,5,175.7071,175.8606,175.6972,175.7632
1692972000,2023,8,25,14,0,175.712,175.7863,175.6378,175.7071
1692971700,2023,8,25,13,55,175.6922,175.7566,175.5687,175.717
1692971400,2023,8,25,13,50,175.4199,175.717,175.4,175.6972
1692971100,2023,8,25,13,45,175.4694,175.4694,175.2416,175.4199
1692970800,2023,8,25,13,40,175.2614,175.4892,175.2599,175.4694
1692970500,2023,8,25,13,35,175.4892,175.5684,175.2515,175.2614
1692970200,2023,8,25,13,30,175.6774,175.6774,175.3901,175.4892
1692969900,2023,8,25,13,25,175.4496,175.6971,175.3901,175.6971
1692969600,2023,8,25,13,20,175.6476,175.6873,175.4,175.4397
1692969300,2023,8,25,13,15,175.7962,175.9101,175.4991,175.6476
1692969000,2023,8,25,13,10,175.7071,175.8049,175.4991,175.7962
1692968700,2023,8,25,13,5,175.816,175.9448,175.7071,175.7071
1692968400,2023,8,25,13,0,175.7863,175.9448,175.7368,175.8457
1692968100,2023,8,25,12,55,175.5486,175.8358,175.4595,175.7863
1692967800,2023,8,25,12,50,175.8655,175.9052,175.509,175.5311
1692967500,2023,8,25,12,45,175.7913,175.9448,175.7368,175.8754
1692967200,2023,8,25,12,40,175.9648,176.0933,175.7566,175.7954
1692966900,2023,8,25,12,35,175.9151,176.1329,175.8061,175.9547
1692966600,2023,8,25,12,30,176.0438,176.0537,175.7863,175.9151
1692966300,2023,8,25,12,25,175.7566,176.0438,175.7071,176.0438
1692966000,2023,8,25,12,20,175.4298,175.7764,175.2812,175.7467
1692965700,2023,8,25,12,15,175.4,175.4694,175.1326,175.4299
1692965400,2023,8,25,12,10,175.3307,175.4694,175.1425,175.4016
1692965100,2023,8,25,12,5,175.2564,175.3802,175.1425,175.3208
1692964800,2023,8,25,12,0,174.9643,175.3801,174.9445,175.2515
1692964500,2023,8,25,11,55,175.4397,175.4397,174.8553,174.9643
1692964200,2023,8,25,11,50,175.7368,175.8754,175.4199,175.4496
1692963900,2023,8,25,11,45,175.8259,175.8556,175.5932,175.7368
1692963600,2023,8,25,11,40,176.024,176.0339,175.608,175.8411
1692963300,2023,8,25,11,35,175.6278,176.0636,175.6179,176.0141
1692963000,2023,8,25,11,30,175.6576,175.7071,175.41,175.6377
1692962700,2023,8,25,11,25,175.0534,175.7071,175.0534,175.6576
1692962400,2023,8,25,11,20,175.0122,175.0633,174.7167,175.0515
1692962100,2023,8,25,11,15,175.093,175.1227,174.687,175.0125
1692961800,2023,8,25,11,10,174.994,175.3506,174.994,175.1095
1692961500,2023,8,25,11,5,174.4988,175.0732,174.4673,174.994
1692961200,2023,8,25,11,0,174.2115,174.5879,174.1819,174.4889
1692960900,2023,8,25,10,55,174.37,174.5333,174.1323,174.2017
1692960600,2023,8,25,10,50,174.4592,174.6473,174.3007,174.37
1692960300,2023,8,25,10,45,174.7167,174.7464,174.3898,174.4592
1692960000,2023,8,25,10,40,174.8751,175.3505,174.7167,174.7266
1692959700,2023,8,25,10,35,175.1029,175.2911,174.7573,174.8751
1692959400,2023,8,25,10,30,175.3109,175.5783,175.0732,175.1029
1692959100,2023,8,25,10,25,175.5585,175.6383,175.1227,175.3159
1692958800,2023,8,25,10,20,176.0933,176.1825,175.5288,175.5486
1692958500,2023,8,25,10,15,176.232,176.9154,176.0448,176.0932
1692958200,2023,8,25,10,10,175.2614,176.2419,175.2119,176.232
1692957900,2023,8,25,10,5,175.9349,176.0537,175.1326,175.2317
1692957600,2023,8,25,10,0,175.9151,176.4994,175.3703,175.9349
1692957300,2023,8,25,9,55,175.7467,175.9547,175.5288,175.9291
1692957000,2023,8,25,9,50,175.7863,175.9151,175.5882,175.7467
1692956700,2023,8,25,9,45,176.024,176.0438,175.6972,175.7854
1692956400,2023,8,25,9,40,176.0735,176.2914,175.8061,176.024
1692956100,2023,8,25,9,35,176.2815,176.4296,175.7763,176.0776
1692955800,2023,8,25,9,30,175.6774,176.4184,175.6774,176.289
